Date,code,Value
2023-01-01,993,0
2023-02-01,993,1
2023-03-01,993,3
2023-04-01,993,6
2023-05-01,993,1
2023-06-01,993,1
2023-07-01,993,4
2023-08-01,993,7
2023-09-01,993,3
2023-10-01,993,8
2023-11-01,993,3
2023-12-01,993,36
2023-01-01,876,2
2023-02-01,876,7
2023-03-01,876,3
2023-04-01,876,7
2023-05-01,876,93
2023-06-01,876,9
2023-07-01,876,9
2023-08-01,876,2
2023-09-01,876,6
2023-10-01,876,3
2023-11-01,876,1
2023-12-01,876,0
2023-01-01,934,31
2023-02-01,934,60
2023-03-01,934,3
2023-04-01,934,11
2023-05-01,934,4
2023-06-01,934,9
2023-07-01,934,30
2023-08-01,934,9
2023-09-01,934,4
2023-10-01,934,2
2023-11-01,934,26
2023-12-01,934,19
2023-01-01,123,9
2023-02-01,123,8
2023-03-01,123,4
2023-04-01,123,0
2023-05-01,123,1
2023-06-01,123,7
2023-07-01,123,4
2023-08-01,123,7
2023-09-01,123,5
2023-10-01,123,1
2023-11-01,123,4
2023-12-01,123,36
2023-01-01,23,2
2023-02-01,23,1
2023-03-01,23,4
2023-04-01,23,6
2023-05-01,23,101
2023-06-01,23,0
2023-07-01,23,9
2023-08-01,23,0
2023-09-01,23,6
2023-10-01,23,5
2023-11-01,23,6
2023-12-01,23,1
2023-01-01,9134,30
2023-02-01,9134,51
2023-03-01,9134,10
2023-04-01,9134,4
2023-05-01,9134,6
2023-06-01,9134,8
2023-07-01,9134,30
2023-08-01,9134,9
2023-09-01,9134,4
2023-10-01,9134,8
2023-11-01,9134,26
2023-12-01,9134,27
2023-01-01,12,1
2023-02-01,12,10
2023-03-01,12,4
2023-04-01,12,2
2023-05-01,12,1
2023-06-01,12,7
2023-07-01,12,5
2023-08-01,12,0
2023-09-01,12,4
2023-10-01,12,8
2023-11-01,12,4
2023-12-01,12,37
2023-01-01,76,9
2023-02-01,76,1
2023-03-01,76,3
2023-04-01,76,5
2023-05-01,76,93
2023-06-01,76,1
2023-07-01,76,9
2023-08-01,76,8
2023-09-01,76,1
2023-10-01,76,4
2023-11-01,76,1
2023-12-01,76,0
2023-01-01,121,30
2023-02-01,121,59
2023-03-01,121,2
2023-04-01,121,12
2023-05-01,121,5
2023-06-01,121,15
2023-07-01,121,30
2023-08-01,121,9
2023-09-01,121,3
2023-10-01,121,2
2023-11-01,121,18
2023-12-01,121,26
2023-01-01,765,1
2023-02-01,765,9
2023-03-01,765,12
2023-04-01,765,2
2023-05-01,765,0
2023-06-01,765,6
2023-07-01,765,3
2023-08-01,765,7
2023-09-01,765,5
2023-10-01,765,7
2023-11-01,765,3
2023-12-01,765,37
2023-01-01,33,10
2023-02-01,33,2
2023-03-01,33,5
2023-04-01,33,1
2023-05-01,33,102
2023-06-01,33,1
2023-07-01,33,0
2023-08-01,33,1
2023-09-01,33,3
2023-10-01,33,4
2023-11-01,33,2
2023-12-01,33,2
2023-01-01,9124,37
2023-02-01,9124,51
2023-03-01,9124,3
2023-04-01,9124,3
2023-05-01,9124,12
2023-06-01,9124,7
2023-07-01,9124,38
2023-08-01,9124,9
2023-09-01,9124,3
2023-10-01,9124,2
2023-11-01,9124,18
2023-12-01,9124,26
