Date,code,Value
2023-01-01,993,1
2023-02-01,993,1
2023-03-01,993,3
2023-04-01,993,7
2023-05-01,993,9
2023-06-01,993,2
2023-07-01,993,3
2023-08-01,993,8
2023-09-01,993,3
2023-10-01,993,7
2023-11-01,993,4
2023-12-01,993,37
2023-01-01,876,2
2023-02-01,876,1
2023-03-01,876,4
2023-04-01,876,6
2023-05-01,876,93
2023-06-01,876,1
2023-07-01,876,1
2023-08-01,876,8
2023-09-01,876,7
2023-10-01,876,3
2023-11-01,876,8
2023-12-01,876,9
2023-01-01,934,38
2023-02-01,934,58
2023-03-01,934,11
2023-04-01,934,3
2023-05-01,934,5
2023-06-01,934,9
2023-07-01,934,30
2023-08-01,934,10
2023-09-01,934,4
2023-10-01,934,1
2023-11-01,934,17
2023-12-01,934,26
2023-01-01,123,1
2023-02-01,123,2
2023-03-01,123,3
2023-04-01,123,1
2023-05-01,123,8
2023-06-01,123,3
2023-07-01,123,3
2023-08-01,123,7
2023-09-01,123,5
2023-10-01,123,7
2023-11-01,123,4
2023-12-01,123,37
2023-01-01,23,9
2023-02-01,23,6
2023-03-01,23,5
2023-04-01,23,6
2023-05-01,23,100
2023-06-01,23,9
2023-07-01,23,9
2023-08-01,23,1
2023-09-01,23,6
2023-10-01,23,2
2023-11-01,23,6
2023-12-01,23,1
2023-01-01,9134,38
2023-02-01,9134,59
2023-03-01,9134,12
2023-04-01,9134,4
2023-05-01,9134,4
2023-06-01,9134,8
2023-07-01,9134,37
2023-08-01,9134,1
2023-09-01,9134,4
2023-10-01,9134,1
2023-11-01,9134,19
2023-12-01,9134,26
2023-01-01,12,9
2023-02-01,12,9
2023-03-01,12,4
2023-04-01,12,2
2023-05-01,12,1
2023-06-01,12,1
2023-07-01,12,3
2023-08-01,12,8
2023-09-01,12,2
2023-10-01,12,1
2023-11-01,12,4
2023-12-01,12,28
2023-01-01,76,11
2023-02-01,76,8
2023-03-01,76,5
2023-04-01,76,2
2023-05-01,76,101
2023-06-01,76,9
2023-07-01,76,2
2023-08-01,76,1
2023-09-01,76,7
2023-10-01,76,5
2023-11-01,76,7
2023-12-01,76,1
2023-01-01,121,37
2023-02-01,121,60
2023-03-01,121,2
2023-04-01,121,4
2023-05-01,121,5
2023-06-01,121,8
2023-07-01,121,30
2023-08-01,121,9
2023-09-01,121,4
2023-10-01,121,8
2023-11-01,121,25
2023-12-01,121,19
2023-01-01,765,1
2023-02-01,765,9
2023-03-01,765,11
2023-04-01,765,1
2023-05-01,765,1
2023-06-01,765,3
2023-07-01,765,4
2023-08-01,765,1
2023-09-01,765,3
2023-10-01,765,7
2023-11-01,765,4
2023-12-01,765,36
2023-01-01,33,2
2023-02-01,33,7
2023-03-01,33,4
2023-04-01,33,7
2023-05-01,33,101
2023-06-01,33,9
2023-07-01,33,1
2023-08-01,33,7
2023-09-01,33,2
2023-10-01,33,6
2023-11-01,33,8
2023-12-01,33,1
2023-01-01,9124,30
2023-02-01,9124,50
2023-03-01,9124,12
2023-04-01,9124,5
2023-05-01,9124,4
2023-06-01,9124,9
2023-07-01,9124,30
2023-08-01,9124,1
2023-09-01,9124,5
2023-10-01,9124,1
2023-11-01,9124,19
2023-12-01,9124,27
