Date,code,Value
2023-01-01,993,1
2023-02-01,993,9
2023-03-01,993,11
2023-04-01,993,1
2023-05-01,993,8
2023-06-01,993,2
2023-07-01,993,4
2023-08-01,993,6
2023-09-01,993,3
2023-10-01,993,7
2023-11-01,993,3
2023-12-01,993,36
2023-01-01,876,2
2023-02-01,876,1
2023-03-01,876,3
2023-04-01,876,6
2023-05-01,876,93
2023-06-01,876,8
2023-07-01,876,2
2023-08-01,876,1
2023-09-01,876,6
2023-10-01,876,5
2023-11-01,876,1
2023-12-01,876,9
2023-01-01,934,37
2023-02-01,934,59
2023-03-01,934,3
2023-04-01,934,4
2023-05-01,934,4
2023-06-01,934,17
2023-07-01,934,29
2023-08-01,934,10
2023-09-01,934,5
2023-10-01,934,8
2023-11-01,934,26
2023-12-01,934,18
2023-01-01,123,8
2023-02-01,123,9
2023-03-01,123,12
2023-04-01,123,2
2023-05-01,123,1
2023-06-01,123,6
2023-07-01,123,5
2023-08-01,123,6
2023-09-01,123,4
2023-10-01,123,7
2023-11-01,123,5
2023-12-01,123,37
2023-01-01,23,1
2023-02-01,23,6
2023-03-01,23,4
2023-04-01,23,7
2023-05-01,23,101
2023-06-01,23,8
2023-07-01,23,9
2023-08-01,23,1
2023-09-01,23,1
2023-10-01,23,2
2023-11-01,23,1
2023-12-01,23,1
2023-01-01,9134,37
2023-02-01,9134,59
2023-03-01,9134,11
2023-04-01,9134,5
2023-05-01,9134,12
2023-06-01,9134,8
2023-07-01,9134,38
2023-08-01,9134,1
2023-09-01,9134,3
2023-10-01,9134,9
2023-11-01,9134,18
2023-12-01,9134,18
2023-01-01,12,1
2023-02-01,12,8
2023-03-01,12,3
2023-04-01,12,7
2023-05-01,12,9
2023-06-01,12,6
2023-07-01,12,4
2023-08-01,12,7
2023-09-01,12,5
2023-10-01,12,1
2023-11-01,12,3
2023-12-01,12,30
2023-01-01,76,3
2023-02-01,76,8
2023-03-01,76,3
2023-04-01,76,1
2023-05-01,76,93
2023-06-01,76,1
2023-07-01,76,9
2023-08-01,76,2
2023-09-01,76,2
2023-10-01,76,5
2023-11-01,76,7
2023-12-01,76,8
2023-01-01,121,31
2023-02-01,121,52
2023-03-01,121,12
2023-04-01,121,4
2023-05-01,121,12
2023-06-01,121,8
2023-07-01,121,38
2023-08-01,121,1
2023-09-01,121,4
2023-10-01,121,1
2023-11-01,121,26
2023-12-01,121,26
2023-01-01,765,1
2023-02-01,765,2
2023-03-01,765,11
2023-04-01,765,1
2023-05-01,765,9
2023-06-01,765,6
2023-07-01,765,4
2023-08-01,765,6
2023-09-01,765,5
2023-10-01,765,2
2023-11-01,765,4
2023-12-01,765,29
2023-01-01,33,11
2023-02-01,33,1
2023-03-01,33,4
2023-04-01,33,5
2023-05-01,33,100
2023-06-01,33,1
2023-07-01,33,10
2023-08-01,33,1
2023-09-01,33,1
2023-10-01,33,4
2023-11-01,33,7
2023-12-01,33,1
2023-01-01,9124,38
2023-02-01,9124,52
2023-03-01,9124,12
2023-04-01,9124,11
2023-05-01,9124,5
2023-06-01,9124,7
2023-07-01,9124,38
2023-08-01,9124,9
2023-09-01,9124,4
2023-10-01,9124,9
2023-11-01,9124,18
2023-12-01,9124,18
