code_p,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w,Inventory value,Inventory,Total orders,total 23,AV23,multiplier,Minimum stock,purchase_r,Month,Value
15126,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.883629950296617,1.0,0.0,0.3865503080082135,0.2,0.0,0.1678832116788321,0.5719636169074371,January,0.168103448275862
15126,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.883629950296617,1.0,0.0,0.3865503080082135,0.2,0.0,0.1678832116788321,0.5719636169074371,February,0.6602870813397129
15126,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.883629950296617,1.0,0.0,0.3865503080082135,0.2,0.0,0.1678832116788321,0.5719636169074371,March,0.3517587939698492
15126,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.883629950296617,1.0,0.0,0.3865503080082135,0.2,0.0,0.1678832116788321,0.5719636169074371,April,0.0803571428571428
15126,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.883629950296617,1.0,0.0,0.3865503080082135,0.2,0.0,0.1678832116788321,0.5719636169074371,May,0.5027027027027027
15126,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.883629950296617,1.0,0.0,0.3865503080082135,0.2,0.0,0.1678832116788321,0.5719636169074371,June,0.5901639344262295
15126,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.883629950296617,1.0,0.0,0.3865503080082135,0.2,0.0,0.1678832116788321,0.5719636169074371,July,0.1104294478527607
15126,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.883629950296617,1.0,0.0,0.3865503080082135,0.2,0.0,0.1678832116788321,0.5719636169074371,August,0.044280442804428
15126,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.883629950296617,1.0,0.0,0.3865503080082135,0.2,0.0,0.1678832116788321,0.5719636169074371,September,0.3157894736842105
15126,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.883629950296617,1.0,0.0,0.3865503080082135,0.2,0.0,0.1678832116788321,0.5719636169074371,October,0.2259887005649717
15126,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.883629950296617,1.0,0.0,0.3865503080082135,0.2,0.0,0.1678832116788321,0.5719636169074371,Novermber,0.216
15126,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.883629950296617,1.0,0.0,0.3865503080082135,0.2,0.0,0.1678832116788321,0.5719636169074371,December,0.4679802955665024
15127,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.1377264710598044,0.4579870729455217,0.0,0.1237166324435318,0.0878048780487804,0.0,0.0746147607461476,0.319422150882825,January,0.0775862068965517
15127,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.1377264710598044,0.4579870729455217,0.0,0.1237166324435318,0.0878048780487804,0.0,0.0746147607461476,0.319422150882825,February,0.0765550239234449
15127,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.1377264710598044,0.4579870729455217,0.0,0.1237166324435318,0.0878048780487804,0.0,0.0746147607461476,0.319422150882825,March,0.1105527638190954
15127,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.1377264710598044,0.4579870729455217,0.0,0.1237166324435318,0.0878048780487804,0.0,0.0746147607461476,0.319422150882825,April,0.0758928571428571
15127,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.1377264710598044,0.4579870729455217,0.0,0.1237166324435318,0.0878048780487804,0.0,0.0746147607461476,0.319422150882825,May,0.2918918918918919
15127,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.1377264710598044,0.4579870729455217,0.0,0.1237166324435318,0.0878048780487804,0.0,0.0746147607461476,0.319422150882825,June,0.0218579234972677
15127,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.1377264710598044,0.4579870729455217,0.0,0.1237166324435318,0.0878048780487804,0.0,0.0746147607461476,0.319422150882825,July,0.0899795501022494
15127,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.1377264710598044,0.4579870729455217,0.0,0.1237166324435318,0.0878048780487804,0.0,0.0746147607461476,0.319422150882825,August,0.033210332103321
15127,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.1377264710598044,0.4579870729455217,0.0,0.1237166324435318,0.0878048780487804,0.0,0.0746147607461476,0.319422150882825,September,0.0657894736842105
15127,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.1377264710598044,0.4579870729455217,0.0,0.1237166324435318,0.0878048780487804,0.0,0.0746147607461476,0.319422150882825,October,0.0903954802259887
