,15001,15002,15003,15004,15005,15006,15007,15008,15009,15027,15028,15037,15038,15039,15040,15041,15060,15061,15062,15080,15081,15082,15083,15084,15085,15086,15087,15088,15126,15127,15301,15302,15303,15304,15305,15306,15307,15308,15386,15387,15394,15450,15451,15452,15453,15454,15455,15456,15457,15458,15906,15907,15908,15909,15910,15911,15912,15913,15914,15915,15916,15917,150011,150022,150033,150044,150055,150066,150077,150088,150099,150277,150288,150600,150611,150622
2023-01-01,14,31,7,190,62,13,241,22,23,316,44,11,10,103,10,7,86,158,30,255,95,7,85,95,8,63,23,9,118,27,68,78,40,46,17,6,11,6,8,7,7,8,7,8,8,7,8,7,6,7,9,9,8,7,9,9,6,7,7,7,7,6,8,10,7,10,7,9,47,9,7,22,6,23,13,6
2023-02-01,12,33,7,167,23,12,292,25,24,250,88,11,8,18,8,7,115,207,19,333,47,8,99,75,9,71,14,10,166,30,74,91,34,47,22,7,11,7,8,7,7,8,8,8,9,7,9,7,7,8,9,8,7,7,8,8,7,7,7,7,7,7,8,9,7,9,7,8,32,12,7,20,8,27,18,7
2023-03-01,9,22,7,162,15,9,252,18,15,270,115,10,8,25,7,7,89,189,14,252,57,8,155,113,9,36,13,8,185,21,54,55,19,31,19,7,8,7,7,7,7,8,8,8,9,7,9,7,7,8,7,9,7,7,8,8,7,7,7,7,7,7,8,7,7,7,7,7,22,12,7,18,8,18,17,7
2023-04-01,8,14,7,202,16,8,259,12,11,252,46,8,8,24,7,7,66,227,12,260,35,7,83,59,8,29,10,8,175,13,35,43,15,20,11,7,8,7,7,7,7,7,7,7,8,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,8,7,7,16,8,7,11,7,12,10,7
2023-05-01,8,12,7,211,10,8,252,11,10,257,53,8,7,12,7,7,59,243,9,250,23,7,94,51,8,22,9,7,210,12,27,33,12,16,10,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,8,7,10,7,11,9,7
2023-06-01,8,10,7,236,9,7,256,9,9,254,39,8,7,11,7,7,39,257,8,255,19,7,87,43,7,14,8,7,228,10,19,21,10,12,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,8,7,9,7,9,9,7
2023-07-01,7,9,7,251,9,7,255,8,8,256,22,7,7,10,7,7,28,258,8,254,13,7,54,25,7,12,8,7,248,8,14,16,9,10,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,7,7,8,7,8,8,7
2023-08-01,7,8,7,258,8,7,256,8,8,255,19,7,7,8,7,7,20,257,8,256,10,7,47,19,7,10,7,7,256,8,11,12,8,9,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,8,7,8,8,7
2023-09-01,7,8,7,258,7,7,255,7,7,255,14,7,7,8,7,7,14,256,7,255,9,7,33,14,7,9,7,7,258,8,9,10,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7
2023-10-01,7,7,7,256,7,7,255,7,7,255,10,7,7,8,7,7,11,255,7,255,8,7,22,11,7,8,7,7,257,7,8,9,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2023-11-01,7,7,7,255,7,7,255,7,7,255,9,7,7,7,7,7,10,255,7,255,8,7,16,9,7,8,7,7,256,7,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2023-12-01,7,7,7,255,7,7,255,7,7,255,8,7,7,7,7,7,8,255,7,255,7,7,12,8,7,7,7,7,255,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
